address,lat,longi,Route_Name,Locality_Name,postal_town,Admin_level3,Admin_level2,Admin_level1,country
SL1 1QW Merton Road,51.50573060000001,-0.5869658,Merton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1QX Alpha Street South,51.5050651,-0.5897336,Alpha Street South,Slough,Slough,,Slough,England,United Kingdom
SL1 1QZ Alpha Street South,51.50551779999999,-0.5895959,Alpha Street South,Slough,Slough,,Slough,England,United Kingdom
SL1 1RA Alpha Street North,51.50673399999999,-0.5892819,Alpha Street North,Slough,Slough,,Slough,England,United Kingdom
SL1 1RB Alpha Street North,51.50701309999999,-0.589194,Alpha Street North,Slough,Slough,,Slough,England,United Kingdom
SL1 1RD Hencroft Street North,51.5061692,-0.5902923999999999,Hencroft Street North,Slough,Slough,,Slough,England,United Kingdom
SL1 1RE Hencroft Street South,51.50531420000001,-0.5905758000000001,Hencroft Street South,Slough,Slough,,Slough,England,United Kingdom
SL1 1RF Hencroft Street South,51.5053356,-0.5905694,Hencroft Street South,Slough,Slough,,Slough,England,United Kingdom
SL1 1RG Hencroft Street North,51.5061692,-0.5902923999999999,Hencroft Street North,Slough,Slough,,Slough,England,United Kingdom
SL1 1RN Wexham Road,51.5099173,-0.5834469,Wexham Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1RP Wellington Street,51.50861560000001,-0.5827775,Wellington Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1RQ Charter Close,51.5047372,-0.5912269,Charter Close,Slough,Slough,,Slough,England,United Kingdom
SL1 1RR Aldin Avenue South,51.5080944,-0.583052,Aldin Avenue South,Slough,Slough,,Slough,England,United Kingdom
SL1 1RS Aldin Avenue North,51.5092408,-0.5823663,Aldin Avenue North,Slough,Slough,,Slough,England,United Kingdom
SL1 1RT Diamond Road,51.5096768,-0.581054,Diamond Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1RU Colonial Road,51.5106551,-0.5825196,Colonial Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1RX Diamond Road,51.50964889999999,-0.5807804000000001,Diamond Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1RZ Australia Road,51.51054570000001,-0.5814805999999999,Australia Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SB Princes Street,51.5090509,-0.5813465999999999,Princes Street,Slough,Slough,,Slough,England,United Kingdom
SL1 1SD Connaught Road,51.5090509,-0.5813465999999999,Connaught Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SE Canada Road,51.510412200000005,-0.5804771,Canada Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SF India Road,51.509961700000005,-0.5794902,India Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SG Uxbridge Road,51.5089941,-0.579453,Uxbridge Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SJ Clifton Road,51.507444899999996,-0.5815201,Clifton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SN Uxbridge Road,51.50756639999999,-0.58249,Uxbridge Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SP Clifton Road,51.5073368,-0.5809607,Clifton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SR Clifton Road,51.507444899999996,-0.5815201,Clifton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SU Uxbridge Road,51.5085664,-0.5802263000000001,Uxbridge Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SW Uxbridge Road,51.507813299999995,-0.581962,Uxbridge Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1SX Clifton Road,51.507444899999996,-0.5815201,Clifton Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1TA Dolphin Road,51.50881939999999,-0.577701,Dolphin Road,Slough,Slough,,Slough,England,United Kingdom
SL1 1TB Hawtrey Close,51.507859100000005,-0.5767064000000001,Hawtrey Close,Slough,Slough,,Slough,England,United Kingdom
